# Registre officiel des communes suisses — asset généré, ne pas éditer à la main.
# Régénérer : python3 tools/data/build_commune_registry.py --date 13-08-2026
# Source : OFS, https://www.agvchapp.bfs.admin.ch/api/communes/snapshot
# Instantané : 13-08-2026
# Communes : 2110
# Le numéro OFS est l'identité engagée ; il change lors d'un transfert de canton.
# Format : numéro OFS|nom officiel|canton|valide depuis|alias de recherche
#
4095|Brugg|AG|01.01.2026|
4193|Brunegg|AG|12.09.1848|
5160|Brusino Arsizio|TI|12.09.1848|
3551|Brusio|GR|01.01.2017|
733|Brügg|BE|01.01.2010|
2292|Brünisried|FR|12.09.1848|
491|Brüttelen|BE|01.01.2010|
213|Brütten|ZH|12.09.1848|
2823|Bubendorf|BL|01.01.1994|
112|Bubikon|ZH|12.09.1848|
2961|Buch (SH)|SH|01.01.1850|
24|Buch am Irchel|ZH|01.01.2013|
2933|Buchberg|SH|12.09.1848|
2465|Buchegg|SO|01.01.2024|
923|Buchholterberg|BE|01.01.2010|
5623|Buchillon|VD|01.09.2006|
1052|Buchrain|LU|01.01.2013|
4003|Buchs (AG)|AG|12.09.1848|
3271|Buchs (SG)|SG|01.01.2003|
83|Buchs (ZH)|ZH|12.09.1848|
2843|Buckten|BL|01.01.1994|
2125|Bulle|FR|01.01.2006|
5552|Bullet|VD|01.09.2006|
1502|Buochs|NW|01.01.1850|
6778|Bure|JU|01.01.1979|
2783|Burg im Leimental|BL|01.01.1994|
404|Burgdorf|BE|01.01.2010|
863|Burgistein|BE|01.01.2010|
5852|Bursinel|VD|01.09.2006|
5853|Bursins|VD|01.09.2006|
5854|Burtigny|VD|01.09.2006|
3804|Buseno|GR|01.01.2017|
5624|Bussigny|VD|01.05.2014|
4921|Bussnang|TG|01.01.2011|
325|Busswil bei Melchnau|BE|01.01.2010|
5663|Bussy-sur-Moudon|VD|01.09.2006|
1083|Buttisholz|LU|01.01.2013|
4230|Buttwil|AG|12.09.1848|
2844|Buus|BL|01.01.1994|
111|Bäretswil|ZH|12.09.1848|
403|Bäriswil|BE|01.01.2010|
2611|Bärschwil|SO|12.09.1848|
533|Bätterkinden|BE|01.01.2010|
2471|Bättwil|SO|12.09.1848|
2842|Böckten|BL|01.01.1994|
572|Bönigen|BE|01.01.2010|
2295|Bösingen|FR|01.01.1962|
4303|Böttstein|AG|12.09.1848|
4124|Bözberg|AG|01.01.2013|
4185|Böztal|AG|01.01.2022|
382|Büetigen|BE|01.01.2010|
734|Bühl|BE|01.01.2010|
3021|Bühler|AR|12.09.1848|
53|Bülach|ZH|01.04.1917|
4229|Bünzen|AG|01.01.1940|
6193|Bürchen|VS|12.09.1848|
2472|Büren (SO)|SO|12.09.1848|
383|Büren an der Aare|BE|01.01.2010|
4911|Bürglen (TG)|TG|01.01.2011|
1205|Bürglen (UR)|UR|12.09.1848|
1082|Büron|LU|01.01.2013|
2614|Büsserach|SO|12.09.1848|
3395|Bütschwil-Ganterschwil|SG|01.01.2013|
2914|Büttenhardt|SH|04.10.1967|
4064|Büttikon|AG|12.09.1848|
5161|Cademario|TI|12.09.1848|
5162|Cadempino|TI|12.09.1848|
5003|Cadenazzo|TI|13.03.2005|
3837|Calanca|GR|01.01.2017|
3831|Cama|GR|01.01.2017|
5307|Campo (Vallemaggia)|TI|12.09.1848|
5167|Canobbio|TI|12.09.1848|
5226|Capriasca|TI|20.04.2008|
6608|Carouge (GE)|GE|12.09.1848|
6609|Cartigny|GE|12.09.1848|
5171|Caslano|TI|12.09.1848|
3805|Castaneda|GR|01.01.2017|
5249|Castel San Pietro|TI|04.04.2004|
3661|Cazis|GR|01.01.2017|
3782|Celerina/Schlarigna|GR|01.01.2017|Celerina,Schlarigna
5397|Centovalli|TI|25.10.2009|
5309|Cerentino|TI|12.09.1848|
5310|Cevio|TI|22.10.2006|
6232|Chalais|VS|12.09.1848|
1702|Cham|ZG|12.09.1848|
5904|Chamblon|VD|01.09.2006|
6022|Chamoson|VS|12.09.1848|
5553|Champagne|VD|01.09.2006|
683|Champoz|BE|01.01.2010|
5812|Champtauroz|VD|01.09.2006|
5905|Champvent|VD|01.01.2012|
6151|Champéry|VS|12.09.1848|
6611|Chancy|GE|12.09.1848|
5882|Chardonne|VD|01.09.2006|
5707|Chavannes-de-Bogis|VD|01.09.2006|
5708|Chavannes-des-Bois|VD|01.09.2006|
5907|Chavannes-le-Chêne|VD|01.09.2006|
5475|Chavannes-le-Veyron|VD|01.09.2006|
5627|Chavannes-près-Renens|VD|01.09.2006|
5665|Chavannes-sur-Moudon|VD|01.09.2006|
5749|Chavornay|VD|01.01.2017|
5909|Cheseaux-Noréaz|VD|01.09.2006|
5582|Cheseaux-sur-Lausanne|VD|01.09.2006|
5403|Chessel|VD|01.09.2006|
5476|Chevilly|VD|01.09.2006|
5813|Chevroux|VD|01.09.2006|
5601|Chexbres|VD|01.09.2006|
2055|Cheyres-Châbles|FR|01.01.2017|
5250|Chiasso|TI|04.04.1976|
5628|Chigny|VD|01.09.2006|
6235|Chippis|VS|12.09.1848|
6614|Choulex|GE|12.09.1848|
3901|Chur|GR|01.01.2025|Coire,Coira
3911|Churwalden|GR|01.01.2017|
5841|Château-d'Oex|VD|01.09.2006|
2325|Châtel-Saint-Denis|FR|12.09.1848|
2128|Châtel-sur-Montsalvens|FR|12.09.1848|
2008|Châtillon (FR)|FR|12.09.1848|
6704|Châtillon (JU)|JU|01.01.1979|
2068|Châtonnaye|FR|12.09.1848|
2177|Chénens|FR|12.09.1848|
5709|Chéserex|VD|01.09.2006|
6612|Chêne-Bougeries|GE|12.09.1848|
6613|Chêne-Bourg|GE|01.01.1869|
5908|Chêne-Pâquier|VD|01.09.2006|
5629|Clarmont|VD|01.09.2006|
6808|Clos du Doubs|JU|01.01.2009|
6781|Coeuve|JU|01.01.1979|
5710|Coinsins|VD|01.09.2006|
5251|Coldrerio|TI|12.09.1848|
6615|Collex-Bossy|GE|01.01.1855|
5236|Collina d'Oro|TI|01.04.2012|
6152|Collombey-Muraz|VS|12.09.1848|
